cki,ckp,rkp,rkd,yk,yw,alki,alkp,pkp,pkd,askp,aski,Va_RMSE,Alt_RMSE,Chi_RMSE_deg
21.01395765611654,20.47231674879279,1.7050142417922207,0.5399065156192784,3.09026569238949,4.0,2.389569947531962,3.81728561871216,-4.398828633490122,0.0148802917227786,1.987609259408997,4.140864217765116,13.979,7.9702,33.3728
25.717209558989907,39.81193167386703,1.4740514724543037,2.4666210981929924,8.333214932326843,4.0,8.259394912207668,2.1791983339009215,-7.183216068386972,2.19164764152798,3.856477049974699,4.471980331999365,3.5074,53.9478,45.9884
30.567607529126764,45.335014688744785,1.829425931955695,8.5081265796516,6.005462929905482,4.0,0.3187563169158913,4.909160319801234,-6.143506435297414,0.0326884137250199,0.9608518779314968,0.199077153265797,1.936,137.3409,107.9683
9.42732509724166,47.54121572505144,1.0752107050546735,3.166717836816858,8.732321748587628,4.0,0.8534839234230085,4.665804132859555,-8.208965526126978,0.6352508408051505,4.549309945706065,3.3712678750851315,3.9988,16.2822,108.2157
-24.78053202561669,24.433876781017535,2.5188040504155773,2.0860407273800967,6.869745145670845,4.0,0.2857926745187481,4.659665924083633,-8.136970940391285,1.7051298408210056,2.96397406501161,9.950624020752256,3.0974,30.411,156.2627
15.077145380674981,4.603041005975063,0.9850271034159686,1.8292967330700682,5.434506907615116,4.0,6.124136465108234,3.6595302675361054,-7.749904393689604,2.1929712765078317,1.0383385662919238,6.7830516785346475,5.1869,26.0099,125.6591
30.060331593362346,43.85584008181824,1.7905551433469094,8.251393965841455,5.974042269467701,4.0,0.5907024544991581,4.900364077355682,-6.209811926695878,0.125450633850331,0.977770465304132,0.15764590995346345,2.1166,141.0866,106.4348
20.76735233885118,25.427751143144583,-5.2578764868195815,0.6100260338989597,3.1545454616926216,4.0,-2.214886219037167,3.7981553843538425,-11.633518215634988,0.030925410991955893,-1.3830161267274115,16.00200549656949,12.1763,146.2412,110.9213
12.786810103359523,9.738526381278302,1.1423355157760298,-0.8374843216832943,5.72053511556483,4.0,7.201760718932719,5.5600365204761415,-1.013834296318509,2.311245438643054,2.5778184753043423,3.119387576480542,5.1181,2153.1112,117.3591
-30.412111579515283,21.590665247861306,0.8659591674869999,2.4060728929685213,8.539497167989667,4.0,8.955676651540795,0.2395436201087263,-9.585877983270084,0.6019534553098344,-1.3786297546197446,2.4539589557728743,4.4381,18.9621,95.3042
21.38453870200593,22.560183681781883,1.6018769894844311,0.7560649994152719,3.747624172287367,4.0,3.203637832268451,3.567060531147261,-5.0263237517117485,0.13944664152964087,1.936308033618255,3.9410987241221633,10.8382,7.4893,34.762
